id,rated,variant,speed,perf,createdAt,lastMoveAt,status,players,winner,moves,clock,white_rating,white_ratingDiff,white_inaccuracy,white_mistake,white_blunder,white_acpl,white_accuracy,white_player,black_rating,black_ratingDiff,black_inaccuracy,black_mistake,black_blunder,black_acpl,black_accuracy,black_player,opponent_color,opponent_rating,opponent_ratingDiff,opponent_inaccuracy,opponent_mistake,opponent_blunder,opponent_acpl,opponent_accuracy,opponent_player
lhZtpt54,True,standard,rapid,rapid,1698154946594,1698155482426,mate,"{'white': {'user': {'name': 'ucb_123', 'id': 'ucb_123'}, 'rating': 1435, 'ratingDiff': -32, 'analysis': {'inaccuracy': 5, 'mistake': 1, 'blunder': 1, 'acpl': 46, 'accuracy': 87}}, 'black': {'user': {'name': 'Khanny_V', 'id': 'khanny_v'}, 'rating': 1374, 'ratingDiff': 6, 'analysis': {'inaccuracy': 3, 'mistake': 1, 'blunder': 0, 'acpl': 25, 'accuracy': 95}}}",black,e4 e5 Nf3 d6 Bc4 Bg4 h3 Bxf3 Qxf3 Nf6 d3 c6 Bg5 b5 Bb3 a5 Bxf6 Qxf6 Qxf6 gxf6 O-O a4 Nc3 axb3 cxb3 Nd7 a4 b4 Ne2 d5 exd5 cxd5 Rac1 Nc5 d4 Nxb3 dxe5 Nxc1 Rxc1 fxe5 b3 Bh6 Rc5 Rd8 a5 Ke7 a6 Ke6 Rc6+ Rd6 Rxd6+ Kxd6 a7 Ra8 Ng3 Rxa7 Nf5+ Ke6 Nxh6 Ra1+ Kh2 d4 Ng4 d3 Ne3 f5 Nc4 d2 Nxd2 Ra2 Nc4 Rxf2 Kg3 Rc2 Ne3 Rc3 Kf3 f4 Ke4 fxe3 g4 e2 g5 e1=Q#,"{'initial': 600, 'increment': 0, 'totalTime': 600}",1435,-32,5,1,1,46,87,ucb_123,1374,6,3,1,0,25,95,Khanny_V,black,1374,6,3,1,0,25,95,Khanny_V
tFlJvUnb,True,standard,rapid,rapid,1698154542204,1698154916639,mate,"{'white': {'user': {'name': 'ucb_123', 'id': 'ucb_123'}, 'rating': 1462, 'ratingDiff': -27, 'analysis': {'inaccuracy': 0, 'mistake': 0, 'blunder': 4, 'acpl': 76, 'accuracy': 71}}, 'black': {'user': {'name': 'Aarav123champ', 'id': 'aarav123champ'}, 'rating': 1490, 'ratingDiff': 5, 'analysis': {'inaccuracy': 1, 'mistake': 2, 'blunder': 0, 'acpl': 23, 'accuracy': 92}}}",black,e4 e5 Nf3 Nc6 Bc4 Bc5 d3 Nf6 Ng5 O-O O-O d6 Nc3 Bg4 Qd2 Nd4 Nd5 Nxd5 Bxd5 Ne2+ Kh1 Nxc1 Raxc1 c6 Bc4 d5 exd5 cxd5 Bb3 Be7 f3 Bxg5 Qb4 Bxc1 Rxc1 Qg5 fxg4 Qxc1+ Qe1 Qxe1#,"{'initial': 600, 'increment': 0, 'totalTime': 600}",1462,-27,0,0,4,76,71,ucb_123,1490,5,1,2,0,23,92,Aarav123champ,black,1490,5,1,2,0,23,92,Aarav123champ
c4ThXpIs,True,standard,rapid,rapid,1698110331618,1698111468031,resign,"{'white': {'user': {'name': 'ucb_123', 'id': 'ucb_123'}, 'rating': 1430, 'ratingDiff': 32, 'provisional': True, 'analysis': {'inaccuracy': 4, 'mistake': 0, 'blunder': 4, 'acpl': 33, 'accuracy': 81}}, 'black': {'user': {'name': 'MVRoglic', 'id': 'mvroglic'}, 'rating': 1435, 'ratingDiff': -22, 'analysis': {'inaccuracy': 5, 'mistake': 0, 'blunder': 4, 'acpl': 45, 'accuracy': 78}}}",white,e4 c6 d4 d5 exd5 cxd5 Nf3 Bg4 Be2 e6 O-O Nf6 Ne5 Bxe2 Qxe2 Qb6 c3 Nbd7 Nxd7 Nxd7 Nd2 Bd6 Nf3 Nf6 Bg5 h6 Bxf6 gxf6 b4 a6 a3 Qb5 Qxb5+ axb5 Rfe1 Kd7 Nh4 Bf4 g3 Be3 Rxe3 Ra4 Rf3 Rha8 Rxf6 Rxa3 Rxa3 Rxa3 Rxf7+ Kc6 Rf6 Rxc3 Rxe6+ Kd7 Rxh6 Rc4 Rh7+ Kc6 Nf5 Rxb4 Rh6+ Kc7 Rh7+ Kb6 Rh6+ Ka5 Rd6 Rc4 Rxd5 Ka4 Nd6 Rc1+ Kg2 b4 Nxb7 b3 Ra5+ Kb4 d5 b2 d6 b1=Q d7 Qe4+ Kh3 Qh7+ Kg2 Qxd7 Ra7 Qd5+ Kh3 Qh5+ Kg2 Qd5+ Kh3 Qd7+ Kg2 Qc6+ Kh3 Rg1 Nd8 Qh6+ Kg4 Qb6 Rb7 Qxb7 Nxb7 Rg2 Kh3 Rxf2 Nd6 Kc5 Ne4+ Kd4 Nxf2 Ke3 Ng4+ Kf3 Ne5+ Ke4 Ng4 Kf5 Kh4 Kg6 h3 Kf5 Ne3+ Kg6 g4 Kh6 Nf5+ Kg6 Ne7+ Kh6 g5+ Kg7 Kh5 Kh7 g6+ Kg7 Nf5+ Kh8 Kh6 Kg8 g7 Kf7 Kh7 Kf6 g8=Q Kxf5 h4 Kf4 h5 Kf3 h6 Kf4 Kg7 Kf5 h7 Kf4 h8=Q Kf3 Qf8+ Kg4 Qf6 Kg3 Qhh4+ Kg2 Qfg5+ Kf3 Qgg3+ Ke2 Qhh2+,"{'initial': 600, 'increment': 0, 'totalTime': 600}",1430,32,4,0,4,33,81,ucb_123,1435,-22,5,0,4,45,78,MVRoglic,black,1435,-22,5,0,4,45,78,MVRoglic
dd2ybSZe,True,standard,rapid,rapid,1698109181143,1698110249750,mate,"{'white': {'user': {'name': 'teolop72', 'id': 'teolop72'}, 'rating': 1490, 'ratingDiff': 5, 'analysis': {'inaccuracy': 2, 'mistake': 1, 'blunder': 2, 'acpl': 30, 'accuracy': 92}}, 'black': {'user': {'name': 'ucb_123', 'id': 'ucb_123'}, 'rating': 1462, 'ratingDiff': -32, 'provisional': True, 'analysis': {'inaccuracy': 0, 'mistake': 4, 'blunder': 2, 'acpl': 36, 'accuracy': 88}}}",white,e4 e5 Nf3 Nc6 Bb5 Nf6 d3 a6 Bxc6 dxc6 Nxe5 Bd6 Nf3 O-O h3 Re8 Bg5 h6 Bh4 Be7 c3 b5 O-O c5 Ne5 Bd6 Nc6 Qd7 Na5 Nh5 Qxh5 Re5 Qe2 g5 Bg3 Re6 Bxd6 Qxd6 c4 bxc4 Nxc4 Qd4 Nbd2 Bb7 Nf3 Qg7 Na5 Rb8 Nxb7 Rxb7 b3 g4 Nh4 gxh3 g3 Rb8 Nf5 Qg6 Kh2 Rbe8 Qe3 h5 Nh4 Qg4 f3 Qg7 f4 Qg4 f5 Re5 Rac1 f6 Ng6 h4 Nxe5 Rxe5 Rf4 Qh5 Rxh4 Qf7 Qh6 Qg7 Kxh3 Qxh6 Rxh6 Kg7 Rh4 c6 Rf4 a5 Kh4 Kh6 g4 Kg7 Kh5 Kf7 g5 fxg5 Kxg5 Ke7 Rh1 Kd6 Rh8 Re7 Ra8 Rg7+ Kh4 Rh7+ Kg3 Rg7+ Kf3 Ke5 Ke3 Rg3+ Rf3 Rg1 Ke2 Rg2+ Rf2 Rg1 f6 Rg6 f7 Rf6 Rxf6 Kxf6 f8=Q+ Ke5 Ra7 Kd4 Kd2 c4 Rd7+ Ke5 Qe7+ Kf4 Rd8 cxd3 Rf8+ Kg3 Qg7+ Kh4 Rh8#,"{'initial': 600, 'increment': 0, 'totalTime': 600}",1490,5,2,1,2,30,92,teolop72,1462,-32,0,4,2,36,88,ucb_123,white,1490,5,2,1,2,30,92,teolop72
F4ke8xON,True,standard,rapid,rapid,1698104635023,1698105331392,mate,"{'white': {'user': {'name': 'HoomanFa1993', 'id': 'hoomanfa1993'}, 'rating': 1494, 'ratingDiff': -6, 'analysis': {'inaccuracy': 3, 'mistake': 2, 'blunder': 3, 'acpl': 58, 'accuracy': 81}}, 'black': {'user': {'name': 'ucb_123', 'id': 'ucb_123'}, 'rating': 1414, 'ratingDiff': 48, 'provisional': True, 'analysis': {'inaccuracy': 4, 'mistake': 2, 'blunder': 0, 'acpl': 31, 'accuracy': 91}}}",black,d4 d5 Nf3 Nf6 Bf4 Nc6 Nc3 e6 e3 Bb4 Bb5 O-O O-O a6 Bd3 Bxc3 bxc3 Re8 Ne5 Nxe5 Bxe5 b5 f4 c6 a3 Nd7 Qg4 g6 f5 Nxe5 dxe5 exf5 Rxf5 Bxf5 Bxf5 Rxe5 Bd3 Rxe3 Rf1 Qe7 h4 Re8 h5 Re1 hxg6 Rxf1+ Bxf1 fxg6 Qg3 Qc5+ Kh2 Qxa3 Qc7 Qxc3 Qd7 Qe5+ g3 Qh5+ Bh3 Re2+ Kg1 Re1+ Kf2 Re2+ Kf1 Qf3+ Kg1 Qxg3+ Kf1 Qf2#,"{'initial': 600, 'increment': 0, 'totalTime': 600}",1494,-6,3,2,3,58,81,HoomanFa1993,1414,48,4,2,0,31,91,ucb_123,white,1494,-6,3,2,3,58,81,HoomanFa1993
kMuSf84w,True,standard,rapid,rapid,1696866839984,1696866979074,mate,"{'white': {'user': {'name': 'ucb_123', 'id': 'ucb_123'}, 'rating': 1455, 'ratingDiff': -41, 'provisional': True, 'analysis': {'inaccuracy': 1, 'mistake': 0, 'blunder': 3, 'acpl': 177, 'accuracy': 27}}, 'black': {'user': {'name': 'lynn83', 'id': 'lynn83'}, 'rating': 1461, 'ratingDiff': 6, 'analysis': {'inaccuracy': 2, 'mistake': 1, 'blunder': 2, 'acpl': 106, 'accuracy': 57}}}",black,e4 e5 Nf3 Nf6 Nxe5 Nc6 Nxc6 dxc6 Nc3 Bc5 Bc4 Bxf2+ Kxf2 Ng4+ Ke1 Qd4 Rf1 O-O d3 Nxh2 Rh1 Ng4 Rf1 Nh2 Rh1 Bg4 Qd2 b5 Rxh2 Qg1#,"{'initial': 600, 'increment': 0, 'totalTime': 600}",1455,-41,1,0,3,177,27,ucb_123,1461,6,2,1,2,106,57,lynn83,black,1461,6,2,1,2,106,57,lynn83
xtZ9zuqx,True,standard,rapid,rapid,1696866406816,1696866826244,resign,"{'white': {'user': {'name': 'lynn83', 'id': 'lynn83'}, 'rating': 1455, 'ratingDiff': 6, 'analysis': {'inaccuracy': 3, 'mistake': 1, 'blunder': 4, 'acpl': 100, 'accuracy': 53}}, 'black': {'user': {'name': 'ucb_123', 'id': 'ucb_123'}, 'rating': 1508, 'ratingDiff': -53, 'provisional': True, 'analysis': {'inaccuracy': 2, 'mistake': 1, 'blunder': 6, 'acpl': 121, 'accuracy': 59}}}",white,e4 e5 Bc4 Nf6 Nf3 Nxe4 Nc3 Nxc3 dxc3 Nc6 Bxf7+ Kxf7 Ng5+ Ke8 Qd5 Qe7 O-O h6 Nf3 d6 Bf4 Be6 Qb5 exf4 Rfe1 a6 Qa4 b5 Qe4 Kd7 Rad1 g5 Nd4 Nxd4 Qxa8 Bg7 Qxa6 Nxc2 Qxb5+ c6 Qb7+ Ke8 Qxc6+ Kf7 Re2 Rc8 Qa6 Bc4 Qxc8 Bxe2 Rd2 Ne1 Qf5+ Bf6 Qh7+ Ke6 Rxe2+ Be5 Qxh6+ Qf6 Qh3+ Qf5 Qxf5+ Kxf5 Rxe1 g4 a4 f3 g3 d5 a5 Bc7 a6 Bb6 Ra1 Ke4 a7 Bxa7 Rxa7 Kd3 Rc7 Kc2 b4 Kd3,"{'initial': 600, 'increment': 0, 'totalTime': 600}",1455,6,3,1,4,100,53,lynn83,1508,-53,2,1,6,121,59,ucb_123,white,1455,6,3,1,4,100,53,lynn83
34jsuOnC,True,standard,rapid,rapid,1696866082747,1696866385616,resign,"{'white': {'user': {'name': 'ucb_123', 'id': 'ucb_123'}, 'rating': 1557, 'ratingDiff': -49, 'provisional': True, 'analysis': {'inaccuracy': 1, 'mistake': 1, 'blunder': 3, 'acpl': 97, 'accuracy': 69}}, 'black': {'user': {'name': 'juan47', 'id': 'juan47'}, 'rating': 1590, 'ratingDiff': 5, 'analysis': {'inaccuracy': 0, 'mistake': 2, 'blunder': 3, 'acpl': 67, 'accuracy': 83}}}",black,e4 e5 Nf3 Nf6 Nxe5 Bc5 Bc4 O-O O-O Nxe4 d3 Nxf2 Qf3 Nxd3+ Kh1 Nxe5 Qg3 Nxc4 Bh6 g6 Bxf8 Qxf8 Qxc7 Nc6 Nc3 Bd6 Nd5 Bxc7 Nxc7 Qd6 Nxa8 b6 Rad1 Qb8 b3 Ne3 Rfe1 Nxd1 Re8+ Kg7 Re2 Qxa8 Rd2 Ne3 Re2 Nd1 Rd2 Nc3 Rd3 Nxa2 Re3,"{'initial': 600, 'increment': 0, 'totalTime': 600}",1557,-49,1,1,3,97,69,ucb_123,1590,5,0,2,3,67,83,juan47,black,1590,5,0,2,3,67,83,juan47
XilD5V1U,True,standard,bullet,bullet,1696865707802,1696866003241,outoftime,"{'white': {'user': {'name': 'SAVExistChess', 'id': 'savexistchess'}, 'rating': 1564, 'ratingDiff': 2, 'analysis': {'inaccuracy': 1, 'mistake': 1, 'blunder': 3, 'acpl': 50, 'accuracy': 77}}, 'black': {'user': {'name': 'ucb_123', 'id': 'ucb_123'}, 'rating': 1500, 'ratingDiff': -197, 'provisional': True, 'analysis': {'inaccuracy': 1, 'mistake': 1, 'blunder': 2, 'acpl': 48, 'accuracy': 80}}}",white,e4 e5 Nf3 Nf6 Nc3 d6 d4 exd4 Nxd4 Be7 Bd3 h6 O-O O-O Nd5 Nxd5 exd5 Bd7 c4 c6 Nf5 Bf6 Nxd6 Bg4 Qxg4 Qxd6 Be4 cxd5 Bxd5 Nc6 Bf4 Qb4 Rab1 Ne7 Bxh6 Nxd5 a3 Qa4 b3 Qxa3 cxd5 g6 Bg5 Bg7 d6 Qxd6 Rfd1 Qa6 Qd7 b6 Qd6 Rac8 Bf6,"{'initial': 120, 'increment': 1, 'totalTime': 160}",1564,2,1,1,3,50,77,SAVExistChess,1500,-197,1,1,2,48,80,ucb_123,white,1564,2,1,1,3,50,77,SAVExistChess
uMzbyFj9,True,standard,rapid,rapid,1696863709179,1696864286738,mate,"{'white': {'user': {'name': 'ucb_123', 'id': 'ucb_123'}, 'rating': 1486, 'ratingDiff': 71, 'provisional': True, 'analysis': {'inaccuracy': 5, 'mistake': 4, 'blunder': 2, 'acpl': 70, 'accuracy': 80}}, 'black': {'user': {'name': 'valeriy5454', 'id': 'valeriy5454'}, 'rating': 1522, 'ratingDiff': -5, 'analysis': {'inaccuracy': 2, 'mistake': 2, 'blunder': 3, 'acpl': 100, 'accuracy': 57}}}",white,e4 e5 Nf3 d6 Bc4 Nf6 Ng5 Be6 Bxe6 fxe6 Nxe6 Qe7 Ng5 h6 Nf3 Nxe4 d3 Nf6 O-O Nc6 Nc3 O-O-O Be3 g5 Nb5 a6 Nc3 g4 Nh4 Qf7 Nf5 h5 d4 exd4 Nxd4 Ne5 Nf5 h4 Nd5 h3 g3 Nf3+ Kh1 Ne4 Nd4 Qxd5 Nxf3 gxf3 Qxd5 Nf6 Qf5+ Nd7 Qxf3 Ne5 Qf5+ Nd7 Bd4 Rh6 Rae1 Kb8 Qg5 Rh7 Qxd8#,"{'initial': 600, 'increment': 0, 'totalTime': 600}",1486,71,5,4,2,70,80,ucb_123,1522,-5,2,2,3,100,57,valeriy5454,black,1522,-5,2,2,3,100,57,valeriy5454
